name,cuisines,area,averagecost,dinner ratings,cluster
One More Scoop,"Beverages, Ice Cream, Shake, Juices","Electronic City, Bangalore",200,,0
The Great Woks,Chinese,"Electronic City, Bangalore",150,,3
BLR Biryani House,"North Indian, Chinese, Biryani","Bommasandra, Bangalore",250,,3
Buger Bite,"Burger, Rolls, Fast Food","Electronic City, Bangalore",250,,3
De Spicy Chowki,"North Indian, Chinese, Mughlai, Biryani, Street Food, Rolls, Desserts, Beverages","Bommasandra, Bangalore",800,3.5,4
Ghar Ka Paratha,"North Indian, Street Food, Rolls, Desserts, Beverages","Electronic City, Bangalore",100,,0
Paratha House,North Indian,"Electronic City, Bangalore",100,,0
Indian Grill,"North Indian, Kebab","Electronic City, Bangalore",200,,3
Mannheim Coffee,"Coffee, Beverages","Electronic City, Bangalore",200,,0
Swad Of India,"North Indian, Biryani, Chinese","Electronic City, Bangalore",250,,3
Sri Shiva Shakthi Veg,"South Indian, North Indian, Chinese","Electronic City, Bangalore",400,,0
Mighty Bites,"Fast Food, Beverages","Electronic City, Bangalore",150,,3
Hyderabadi Palace ,"Hyderabadi, North Indian, Biryani, Chinese","Electronic City, Bangalore",250,,3
Hyderabadi Family Pack Biryani ,Biryani,"Electronic City, Bangalore",300,,3
Awadhi Biryani ,"Biryani, Awadhi","Electronic City, Bangalore",300,,3
Dum-Pukht-Biryani,"Biryani, Awadhi","Electronic City, Bangalore",450,,3
Bawarchi Biryanis,"Biryani, Desserts, Beverages","Electronic City, Bangalore",250,,3
Bollywood Spice ,"North Indian, Biryani, Chinese, Kerala, Street Food","Electronic City, Bangalore",250,,3
Bombay Biryani ,"Biryani, Kebab","Electronic City, Bangalore",350,,3
Smokeing Tandoor,"North Indian, Chinese, Biryani","Electronic City, Bangalore",250,,3
Janani Rice Corner,Chinese,"Electronic City, Bangalore",200,,0
Home Bakes,Bakery,"Electronic City, Bangalore",150,,3
Pot Dum Biryani,"Biryani, Kebab","Electronic City, Bangalore",250,,0
MMQ Biryani & Kebab Center,"Biryani, Kebab, North Indian","Electronic City, Bangalore",250,,3
Biryani Festival,"Biryani, North Indian","Electronic City, Bangalore",300,,0
Alpha's Biryani & Kabab House,"Biryani, North Indian, Kebab","Electronic City, Bangalore",300,,3
Scooppy,Ice Cream,"HSR, Bangalore",150,,3
Tandoori Delight,"North Indian, Biryani","Electronic City, Bangalore",250,,0
Yummy Of Chinese,Chinese,"Electronic City, Bangalore",250,,3
Karachi Biryani ,"Biryani, Kebab","Electronic City, Bangalore",350,,3
Sharief Chacha,"Biryani, Chinese, North Indian","Electronic City, Bangalore",300,,3
Jaipur Jalpan,"North Indian, Biryani, Mughlai, Chinese","Electronic City, Bangalore",300,,3
Panjabi Angeethi,"North Indian, Biryani, Mughlai","Electronic City, Bangalore",250,,3
Bukhara Kitchens,"North Indian, Chinese, Biryani","Electronic City, Bangalore",250,,3
Shiv Durga Paratha & Fast Food,"Chinese, North Indian","Electronic City, Bangalore",200,3.6,0
Cappuccino,"South Indian, North Indian, Fast Food, Shake","Electronic City, Bangalore",200,3.5,0
Indo China,"Chinese, North Indian, Seafood, BBQ, Biryani","Electronic City, Bangalore",250,,3
Desi Paratha,North Indian,"Electronic City, Bangalore",100,,3
La Italia,"Italian, Pizza, Continental, Thai, Beverages","Bannerghatta Road, Bangalore",1200,,1
Spice Of Uttar Pradesh,"North Indian, Biryani, Chinese, Fast Food","Electronic City, Bangalore",250,,3
Biryani Khazana House,"Biryani, Hyderabadi","Electronic City, Bangalore",300,,3
Biryani Palace ,"Biryani, Kebab","Electronic City, Bangalore",300,,3
Malabar Kitchens,"South Indian, Kerala","Electronic City, Bangalore",400,2.8,2
The Grill Shack,"Arabian, Lebanese, North Indian, Fast Food, Beverages","Electronic City, Bangalore",400,3.6,0
Mangalorean Foods,"Mughlai, North Indian, Chinese, Biryani, Mangalorean","Electronic City, Bangalore",400,,0
Garden Fresh,"North Indian, Chinese, Mughlai, Arabian","Electronic City, Bangalore",250,,3
Purani Delhi Restaurants,"North Indian, Mughlai, Chinese, Momos","Electronic City, Bangalore",250,,0
Nimantran  Restaurant,"North Indian, Mughlai, Chinese, Biryani","Electronic City, Bangalore",250,,3
New Quality Biryani,"Chinese, Biryani","Electronic City, Bangalore",200,,0
Momo's Factory,"Momos, Chinese","Electronic City, Bangalore",250,,3
Punjabi Angaan Restaurant,"Chinese, Biryani, Mughlai, North Indian, Momos","Electronic City, Bangalore",250,,3
Proteen Cafe,"North Indian, Chinese, Sandwich, Fast Food","Electronic City, Bangalore",400,,0
Kulche Kebab,"Street Food, Kebab","Electronic City, Bangalore",300,,3
Healthy Palate,North Indian,"Sarjapur Road, Bangalore",200,,3
Momo Street,"North Indian, Momos, Chinese, Fast Food","Electronic City, Bangalore",250,,3
Egg Street,"Chinese, North Indian, Street Food","Electronic City, Bangalore",150,,3
Mutton Mast Kalandar,"North Indian, Mughlai, Biryani","Electronic City, Bangalore",350,,0
Village Kitchens,"North Indian, Chinese, Biryani, Mughlai","Electronic City, Bangalore",250,,0
Mani's Royal Biryani,Biryani,"Electronic City, Bangalore",300,,3
Second Wife,"Biryani, Chinese, North Indian, Kebab","Electronic City, Bangalore",250,,3
Arabian Grill,"North Indian, Biryani, Chinese, Kebab","Electronic City, Bangalore",250,,3
Kebab Megic's,"North Indian, Kebab, Biryani, Chinese","Electronic City, Bangalore",300,,0
Dessert Jars @ 99,Desserts,"Electronic City, Bangalore",100,,0
Chinese Street,Chinese,"Electronic City, Bangalore",250,,3
Bawarchi Biryani House,Biryani,"Electronic City, Bangalore",250,,3
Paratha Plaza,"North Indian, Chinese","Electronic City, Bangalore",200,,3
GuruJi Food Point,"North Indian, Chinese","Electronic City, Bangalore",200,3.7,0
Kritongha Restaurant,"North Indian, Chinese, Biryani","Electronic City, Bangalore",250,,3
New Hyderabadi Biriyani Zone,"Biryani, North Indian, Chinese, Seafood, Mughlai","Electronic City, Bangalore",200,,0
Baba Da Daba,"North Indian, Kashmiri, Chinese, Biryani, Mughlai","Electronic City, Bangalore",250,,3
Biryani & Spice,"Biryani, North Indian, Chinese, Mughlai, Beverages","Electronic City, Bangalore",200,,0
Manasa  Restaurant,"North Indian, Biryani, Mughlai, Andhra, Chinese","Electronic City, Bangalore",800,3.4,2
Maharaja Grills And Rolls,"Rolls, Charcoal Chicken, North Indian, Desserts","Electronic City, Bangalore",150,,3
Ande Ke Funde,"Chinese, North Indian","Electronic City, Bangalore",200,,0
Charcoal Chicken,"Fast Food, Desserts","Electronic City, Bangalore",200,,0
Madras CafÃ©,"South Indian, North Indian, Chinese, Kebab","Electronic City, Bangalore",250,,3
Paradise Delicious,"Fast Food, Chinese, Street Food, Mughlai, North Indian, Beverages, Biryani","Electronic City, Bangalore",400,3.6,0
Zaitoun Zaika,"Chinese, North Indian, Mughlai, Biryani","Electronic City, Bangalore",250,,3
Desserts By What The Ale?!,"Bakery, Desserts","Electronic City, Bangalore",300,,3
New Punjabi Curries,"North Indian, Chinese","Electronic City, Bangalore",200,,0
Bihari Bhojan,"North Indian, Chinese, Biryani","Electronic City, Bangalore",250,,0
The London Shakes & CafÃ©,"Fast Food, Pizza, Beverages, Shake","Electronic City, Bangalore",500,3.7,0
AL Pakiza Restaurant,"North Indian, Biryani, Chinese, Momos, Mughlai, Kebab","Electronic City, Bangalore",250,,3
House Of Juice,"Beverages, Street Food","Electronic City, Bangalore",150,,3
Box Asia - Chinese and More,Chinese,"Electronic City, Bangalore",200,,3
Catering Service,"Biryani, North Indian","Electronic City, Bangalore",300,,3
Royal Hot And Fresh Food,"Chinese, South Indian","Bommasandra, Bangalore",150,,3
Infosys CafÃ©,"North Indian, Chinese","Electronic City, Bangalore",300,,3
Crazy Bao,"Fast Food, Chinese, North Indian, Momos","Electronic City, Bangalore",200,,3
JSP Noble Cane juice,Juices,"Electronic City, Bangalore",100,,0
New Lassi Corner,"Fast Food, Street Food, Beverages, Ice Cream","Electronic City, Bangalore",200,3.8,0
Andhra Spicy Hub,"Andhra, Chinese","Bommasandra, Bangalore",250,,0
Momo CafÃ©,"Momos, Chinese","Electronic City, Bangalore",250,,3
Nilamadhaba Restaurant,North Indian,"Electronic City, Bangalore",50,,3
Fabelle Chocolates,Desserts,"Electronic City, Bangalore",100,,0
Thalasery House,"North Indian, Biryani, Chinese, Kebab","Electronic City, Bangalore",200,,3
Kabab Zone,"North Indian, Kebab","Electronic City, Bangalore",100,,3
Biryani Box,Biryani,"Electronic City, Bangalore",250,,3
Curry Xpress,North Indian,"Electronic City, Bangalore",250,,3
Yellow Chili's,"North Indian, Chinese, Mughlai, Biryani, Kebab","Electronic City, Bangalore",200,,3
Afghani Grill House,"North Indian, Mughlai, Chinese","Electronic City, Bangalore",350,,0
Grand Punjabi,North Indian,"Electronic City, Bangalore",100,,0
Pune High Way Dhaba,"North Indian, Chinese, Mughlai, Biryani, Kebab","Electronic City, Bangalore",200,,3
Fire Woods Biryani,"North Indian, Chinese, Biryani, Mughlai","Electronic City, Bangalore",250,,0
Leon Kebab,"North Indian, Chinese, Fast Food, Biryani, Kebab","Electronic City, Bangalore",250,,3
Hoskote Mutton Point,"South Indian, Fast Food, Mughlai","Electronic City, Bangalore",350,,3
Hotel Sapthagiri,"South Indian, Tea","Electronic City, Bangalore",50,,3
Tandoor Studio,"North Indian, Chinese, Biryani, Kebab, Fast Food, Beverages","Electronic City, Bangalore",300,,0
Maha Annapurna Hotel,"Rolls, Bengali","Bommasandra, Bangalore",100,,3
Shilpa Foods,"Beverages, Tea, Coffee","Electronic City, Bangalore",100,,3
Andhra Spicy,"Andhra, North Indian, Biryani, Chinese","Electronic City, Bangalore",250,,0
Ambur Hot Dum Biriyani,"Biryani, Chinese","Electronic City, Bangalore",200,,3
Box A8,"North Indian, Beverages","Electronic City, Bangalore",250,,3
Rolls And Wraps,"Rolls, Wraps, Chinese","Electronic City, Bangalore",250,,3
Hungry Panda- Deliciously Chinese,"Chinese, Momos","Electronic City, Bangalore",250,,0
Shilpa Home Food,Momos,"Electronic City, Bangalore",100,,3
Shilpa Kitchen,South Indian,"Electronic City, Bangalore",100,,3
Megna Restaurant,"North Indian, Chinese, Mughlai, Momos","Electronic City, Bangalore",250,,3
Kulfi And More,"Ice Cream, Desserts","Electronic City, Bangalore",100,,0
Sher E Hindustani Restaurant,"North Indian, Biryani, Chinese, Momos","Electronic City, Bangalore",250,,3
Biryani Box Company,"Biryani, Chinese","Bommasandra, Bangalore",250,,3
Ruposhi Bangla,"Bengali, Fast Food, Seafood","Electronic City, Bangalore",400,,0
Roti Pe Boti,"North Indian, Chinese, Mughlai","Electronic City, Bangalore",200,,3
Swagth Restaurant,"North Indian, Kebab, BBQ, Mughlai, Biryani, Chinese, Momos","Electronic City, Bangalore",250,,3
Commons Corner,"BBQ, Kebab, Street Food, Ice Cream","Electronic City, Bangalore",100,,3
Udupi Spice,"North Indian, Mughlai, Chinese, Momos, Biryani","Electronic City, Bangalore",250,,3
NH-7 High Way Restaurants,"North Indian, South Indian, Chinese, Biryani, Momos, Beverages, Desserts","Electronic City, Bangalore",250,,3
KGN  Restaurant,"North Indian, Chinese","Electronic City, Bangalore",250,,3
Golden Grill Restaurant,"North Indian, Biryani, Chinese, Momos","Electronic City, Bangalore",250,,3
Momo Restaurants,"Momos, Chinese","Electronic City, Bangalore",250,,3
The Dripping Cone,"Ice Cream, Desserts, Beverages","Electronic City, Bangalore",250,,3
Bahaar CafÃ©'s,"North Indian, Chinese, Biryani, Kebab, Momos","Electronic City, Bangalore",250,,3
Momo's Point,"Chinese, Momos","Electronic City, Bangalore",250,,3
Gowdru Mane Donne Biryani,"Biryani, Chinese, South Indian","Electronic City, Bangalore",400,,0
E-City Foodies Corner,"North Indian, Biryani, Chinese","Bommasandra, Bangalore",150,,3
Arabian Mandi,"Lebanese, Ice Cream, Beverages","Bommasandra, Bangalore",400,,0
Coorg Food Factory,"Chinese, South Indian, Biryani","Electronic City, Bangalore",450,3.9,4
Ambur Hot Dum Biriyani,"North Indian, Chinese","Electronic City, Bangalore",300,,0
Biriyani Lover's,"Biryani, Fast Food","Electronic City, Bangalore",150,,0
Al Baik Restaurant,"North Indian, Momos","Electronic City, Bangalore",250,,3
Ambur Style Biryani,Biryani,"Electronic City, Bangalore",150,,3
Banjara Barbeque,"BBQ, Chinese, North Indian, Biryani, Momos","Electronic City, Bangalore",250,,3
Hyderabadi Spicy,"Hyderabadi, Biryani, North Indian, Chinese","Electronic City, Bangalore",250,,3
A1 Fast Food Center,"Chinese, Momos","Electronic City, Bangalore",300,,0
Sri Basaveshwara Khanaavali,South Indian,"Electronic City, Bangalore",200,,0
Mangalore Food Court - MFC,"Mangalorean, Chinese, South Indian, North Indian","Electronic City, Bangalore",300,,0
Crisp And Fresh,Fast Food,"Electronic City, Bangalore",250,,0
Drooling Delight Restaurant,"North Indian, Chinese","Electronic City, Bangalore",300,,0
Chef's Special Kitchen,"Biryani, Chinese, North Indian","Electronic City, Bangalore",150,,3
Palace Of Spice,"South Indian, Chinese, Andhra","Electronic City, Bangalore",250,,0
Chinese Paradise,Chinese,"Electronic City, Bangalore",150,,0
Ruchi Spice Thali ,Tamil,"Electronic City, Bangalore",150,,3
JP Hotel,North Indian,"Bommanahalli, Bangalore",400,,0
VIP - Vasudev Isht Prasadam,"North Indian, Chinese, Street Food, Ice Cream, Desserts, Beverages, Juices","Electronic City, Bangalore",500,3.3,2
Cake Pirates,Desserts,"Electronic City, Bangalore",400,,3
PRM Biryani,"Biryani, Chinese","Electronic City, Bangalore",250,,3
UB Elite Kitchen,"Chinese, Fast Food","Electronic City, Bangalore",100,,3
Green - O,"Fast Food, Sandwich","Electronic City, Bangalore",400,,0
Ambur Hot Dum Biriyani,Hyderabadi,"Bommanahalli, Bangalore",250,,0
Non-Veg.Com,South Indian,"Electronic City, Bangalore",300,,0
Oh My Habibi ,"Rolls, Beverages","Electronic City, Bangalore",350,,0
Hot Chinese,"Chinese, Fast Food","Electronic City, Bangalore",150,,3
Meal 4U  ,South Indian,"Bommanahalli, Bangalore",100,,3
Sambar Rice ,South Indian,"Electronic City, Bangalore",150,,3
Shurjo Sweets,"Mithai, Street Food, Tea, Shake, Juices, Beverages","Bommasandra, Bangalore",100,,3
Babai Andhra Mess,"Biryani, Mughlai, South Indian","Electronic City, Bangalore",150,,0
Mehfil Biryani by Zakir Khan,"Biryani, Kebab, North Indian","HSR, Bangalore",250,,0
Roopa's Home Made Food,North Indian,"Electronic City, Bangalore",50,,3
Amrutham Foods,"North Indian, Chinese, Arabian","Electronic City, Bangalore",150,,3
Healthy Fruit Bowl,Healthy Food,"Electronic City, Bangalore",150,,3
The Grill Theory & Club 10 Chicken,"Fast Food, BBQ, Lebanese, Beverages","Electronic City, Bangalore",350,,0
Hoskote Dum Biryani House,"Biryani, North Indian, South Indian, Fast Food, Chinese, Beverages","Electronic City, Bangalore",400,,0
Happy Days,"Biryani, North Indian, South Indian, Chinese, Beverages, Ice Cream, Shake","Bommanahalli, Bangalore",200,,3
Lebanese  Grilled ,"Lebanese, Biryani, Kebab, North Indian","Electronic City, Bangalore",250,,3
Cafe Dilli,"Chinese, North Indian, Fast Food","Electronic City, Bangalore",300,,0
Avoke The Avocado Cafe,"Fast Food, Healthy Food","Electronic City, Bangalore",300,,0
Roti Curry Meal & Co ,North Indian,"HSR, Bangalore",250,,3
Meenari Cafe,"Street Food, Juices, Shake, Beverages","Bommanahalli, Bangalore",200,,0
Snack O Time,"Burger, Sandwich","Electronic City, Bangalore",100,,3
Guma Gumalu,"South Indian, Chinese, Street Food","Electronic City, Bangalore",200,,0
NS Kitchen,Chinese,"Electronic City, Bangalore",150,,3
Andhra Ruchilu Foods,"Biryani, Beverages","Electronic City, Bangalore",200,,3
Feeding Folks,Fast Food,"Electronic City, Bangalore",200,,3
Hindustan Paratha,"North Indian, Desserts","Bommanahalli, Bangalore",350,,3
Lobby Cafe - Radha Regent,"Continental, American, South Indian, Italian, North Indian, Chinese, Shake","Radha Regent Bengaluru, Electronic City, Bangalore",2000,3.8,1
Bazaar - Zone By The Park,"North Indian, Pasta","Electronic City, Bangalore",1400,4.1,1
Cafe Deoch-An-Doris,"Juices, Shake, Beverages, Ice Cream, Burger, Sandwich, Fast Food","Electronic City, Bangalore",150,,0
Lassi Shopee,"Juices, Shake","Electronic City, Bangalore",100,,0
Flying Kombucha,Beverages,"Electronic City, Bangalore",150,,3
Meghana Foods,"Biryani, Andhra, North Indian, Seafood","Electronic City, Bangalore",300,,3
Imperio Restaurant,"North Indian, Biryani, Arabian, Chinese, Kebab, Beverages, Juices","Electronic City, Bangalore",150,,3
Andhra Gunpowder,"Biryani, South Indian, Desserts, Beverages","Electronic City, Bangalore",200,,3
Shanmukha,"Biryani, Andhra, North Indian, Chinese, Seafood","Electronic City, Bangalore",200,,0
Madras Meal Company,South Indian,"Electronic City, Bangalore",150,,3
Biriyani Zone,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages","Electronic City, Bangalore",800,4.0,4
Nadan Pothichoru,"Kerala, South Indian, Beverages","Electronic City, Bangalore",150,,0
Hyderabadi Spice,"Hyderabadi, Andhra, Chinese, Biryani","Electronic City, Bangalore",400,4.1,4
The Punjabi Rasoi,"Mughlai, North Indian, Chinese","Electronic City, Bangalore",150,,3
Biryani Mount,"Biryani, North Indian","Electronic City, Bangalore",300,,3
Tharavadu Malabar Biryani,"Kerala, Biryani, South Indian, North Indian, Seafood","Electronic City, Bangalore",150,,3
King,"North Indian, Chinese","Electronic City, Bangalore",500,3.9,4
Uttar Karnataka Khanavali,South Indian,"Electronic City, Bangalore",50,,3
Garhwali Tadka,"North Indian, Chinese, Fast Food, Beverages, Biryani, Shake","Electronic City, Bangalore",600,3.8,4
Basmati Biriyani Nation,"Biryani, Mughlai, Fast Food, Desserts","Electronic City, Bangalore",200,,3
Hungry Chang,"Chinese, Fast Food","Electronic City, Bangalore",200,,0
Shankar's Kitchen,"North Indian, South Indian, Chinese, Beverages, Shake","Electronic City, Bangalore",250,,0
Vadilal Ice Cream,"Ice Cream, Desserts","Electronic City, Bangalore",300,,3
Curry House,"South Indian, Biryani, Andhra","Electronic City, Bangalore",100,,0
Curries & Pickles,"Andhra, Biryani, Chinese, North Indian, South Indian","Electronic City, Bangalore",150,,0
The Parotta Combo,"South Indian, Desserts","Electronic City, Bangalore",150,,3
Godavari Delights,"Andhra, North Indian, Biryani, Chinese","Electronic City, Bangalore",450,3.8,4
Imperio Combo King,North Indian,"Electronic City, Bangalore",200,,3
Swad 'E' Punjab,"North Indian, Chinese, Fast Food, Italian, Beverages","Electronic City, Bangalore",900,3.5,4
The Sinnamon Kitchen,"North Indian, Chinese, Fast Food","Bommasandra, Bangalore",200,,0
The Rasoiya Street,"North Indian, Continental, Mexican, Chinese, Desserts, Beverages","Electronic City, Bangalore",900,4.3,4
Bowl 99,"North Indian, South Indian, Mughlai, Desserts","Electronic City, Bangalore",300,,3
Shyam's LUNCHBOX,"Biryani, Chinese, North Indian","Bommasandra, Bangalore",500,3.2,2
Sri Pillaiyar Bhavan,"South Indian, Healthy Food, Beverages","Electronic City, Bangalore",400,3.9,4
Punjabites By Empire,"North Indian, Mughlai, Biryani, Desserts, Beverages","Electronic City, Bangalore",200,,0
Voosh Thalis & Bowls,North Indian,"Electronic City, Bangalore",200,,0
EAT - East Asian Treats,"Asian, Chinese, Thai, Seafood, Fast Food","Electronic City, Bangalore",250,,3
Dande's Hyderabad Biryani,"Andhra, North Indian, Chinese","Electronic City, Bangalore",200,,0
Basmati Express,"Chettinad, North Indian","Electronic City, Bangalore",150,,3
BIB - Breakfast In The Box,Continental,"Electronic City, Bangalore",200,,0
Chefer Plate,"North Indian, Chinese, Biryani","Electronic City, Bangalore",250,,3
Insta Foody's,"Fast Food, Street Food, Pizza, Burger, Ice Cream, Juices, Beverages, Shake","Electronic City, Bangalore",100,,0
Nanda Gokula Family Restaurant,"Chinese, Biryani, Andhra","Electronic City, Bangalore",200,,3
Schezwan Hub,Chinese,"Electronic City, Bangalore",200,,3
Andhra Kitchen,"Andhra, Biryani","Electronic City, Bangalore",400,3.3,2
Fishing Boat - Hotel Goyal Residency,"North Indian, Biryani, Chinese, Kebab, Mangalorean","Electronic City, Bangalore",900,4.1,4
Thrishul Gowda Miilitary Hotel,"North Indian, Chinese, South Indian","Electronic City, Bangalore",100,,3
Express Punjabi Dhaba,"North Indian, Chinese, Mughlai, Kebab","Electronic City, Bangalore",200,,3
Mr. Tasty Chef,"Biryani, North Indian","Electronic City, Bangalore",250,,0
Desi Paratha Meals & Thali,"North Indian, Biryani, Chinese, South Indian","Electronic City, Bangalore",150,,3
Dash Of Delite,"North Indian, Chinese","Electronic City, Bangalore",600,4.1,4
Gourmet,"North Indian, Chinese, Continental, South Indian","Electronic City, Bangalore",800,3.6,4
Paratha Meal Co,"North Indian, Desserts","Electronic City, Bangalore",300,,3
Pure Punjabi,"Chinese, North Indian","Electronic City, Bangalore",350,3.0,2
Bhagya Lakshmi Tiffin Center,"South Indian, Biryani, Chinese","Electronic City, Bangalore",250,,0
Desi Golden Restaurant,"Chinese, North Indian, Biryani","Electronic City, Bangalore",350,3.7,0
Krun Tummy,"North Indian, Chinese","Electronic City, Bangalore",300,3.7,0
Namaste Shanghai,"Chinese, Seafood, Thai","Electronic City, Bangalore",250,,0
Punjab Ki Rasoi,"North Indian, Mughlai, Chinese, Biryani","Electronic City, Bangalore",400,,3
Roti Curry & Co,"North Indian, Desserts","Electronic City, Bangalore",300,,3
Euphoria Bakers,Desserts,"Electronic City, Bangalore",400,,3
The Flavours,"South Indian, North Indian, Chinese, Beverages, Shake","Electronic City, Bangalore",300,,3
Urban Desi Pendu,"Street Food, Fast Food","Electronic City, Bangalore",150,3.2,2
The Asian Palate,"Asian, Chinese, Thai, Seafood, Fast Food","Electronic City, Bangalore",250,,0
Abhiruchi Restaurant,"Biryani, Andhra, South Indian, Chinese, North Indian","Electronic City, Bangalore",150,,0
Apna South Tiffins,"South Indian, Chinese","Bommasandra, Bangalore",100,,3
The OG Kitchen,"Fast Food, Chinese","Electronic City, Bangalore",200,,3
Gowdru Hotel,"South Indian, Biryani","Bommasandra, Bangalore",300,,0
Pattikattan Biriyani,"Biryani, South Indian","Electronic City, Bangalore",300,3.6,0
Delish- The Taste Of Odisha,"Odia, North Indian, Chinese","Electronic City, Bangalore",300,3.9,4
Soul Indian Specialty - Svenska Design Hotel,"North Indian, Kebab, Mughlai, Desserts","Svenska Design Hotel, Electronic City, Bangalore",2000,3.7,1
Satkar Restaurant,"North Indian, Chinese, South Indian","Electronic City, Bangalore",350,3.2,2
Acâlyrics,"Seafood, Italian, Chinese, Finger Food","Svenska Design Hotel, Electronic City, Bangalore",900,4.2,4
Hotel Avakaay,"North Indian, Biryani, Andhra, Chinese","Electronic City, Bangalore",500,3.6,0
Mesa Lounge Bar - Svenska Design Hotel,"Seafood, Italian, Chinese, Finger Food","Svenska Design Hotel, Electronic City, Bangalore",900,3.1,2
VMS Star Biriyani,"Biryani, South Indian, Chinese","Electronic City, Bangalore",500,2.5,2
Mesa Deli - Svenska Design Hotel,"North Indian, Italian","Svenska Design Hotel, Electronic City, Bangalore",1200,3.7,1
Glasso Cafe,"Continental, Chinese","Bommasandra, Bangalore",1200,,1
Strada Kitchen and Bar - Southend By TGI,"Chinese, North Indian","Bommasandra, Bangalore",850,3.6,4
Royal Chowpatty,"Street Food, North Indian","Electronic City, Bangalore",100,3.8,0
11 To 11 Express Biriyanis,"Biryani, Kebab","Electronic City, Bangalore",300,3.2,2
JPN Hotel,"Biryani, South Indian","Electronic City, Bangalore",100,,0
Reyniks Flavours,North Indian,"Electronic City, Bangalore",150,3.8,0
North Kitchen,"North Indian, Salad","Electronic City, Bangalore",100,,3
Janatha Tiffins,"South Indian, North Indian","Bommasandra, Bangalore",350,3.7,0
Andhra Bhavan,"Chinese, Andhra, Biryani","Electronic City, Bangalore",200,,3
Modern Punjabi,North Indian,"Electronic City, Bangalore",300,,3
Momopoly,"Chinese, Wraps, Beverages","Electronic City, Bangalore",200,,3
Shake Tastic,"Beverages, Juices, Shake","Electronic City, Bangalore",150,,3
Nizam's Kitchens,"Biryani, Mughlai, Andhra, Hyderabadi, South Indian, North Indian","Electronic City, Bangalore",150,,3
Shahenshah Biryani,Biryani,"Electronic City, Bangalore",350,,3
Anna Kitchen,"South Indian, North Indian, Biryani, Chinese, Beverages","Electronic City, Bangalore",450,,0
The Daily Meal,"Mughlai, North Indian","Bommasandra, Bangalore",250,,3
Voosh Desi Parathas,North Indian,"Electronic City, Bangalore",200,,3
The Swad A Punjab,"North Indian, Mughlai, Chinese","Electronic City, Bangalore",100,,3
Sri Varu Tiffin Center,South Indian,"Electronic City, Bangalore",100,,3
Global Buffet - Svenska Design Hotel,Cuisine Varies,"Svenska Design Hotel, Electronic City, Bangalore",1200,3.6,4
Today's Tiffin Center ,South Indian,"Electronic City, Bangalore",100,,3
Lai Lai Chinese Eating House,Chinese,"Electronic City, Bangalore",400,,0
Biryani Mane,"Chinese, South Indian, Biryani","Electronic City, Bangalore",200,,0
Bangla Aahar,"Bengali, Street Food","Electronic City, Bangalore",100,,3
Chaatimes,"Street Food, Fast Food","Bannerghatta Road, Bangalore",200,3.2,2
Taco Bell,"Mexican, Fast Food, Beverages, Wraps","Royal Meenakshi Mall, Bannerghatta Road, Bangalore",600,3.7,4
Anand Sweets and Savouries,"Mithai, Street Food, Desserts, Beverages","Bannerghatta Road, Bangalore",300,4.1,4
WarmOven Cake & Desserts,"Bakery, Desserts","BTM, Bangalore",350,,3
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages","Bannerghatta Road, Bangalore",400,2.4,2
Onesta,"Pizza, Pasta, Fast Food, Desserts, Beverages, Sandwich, North Indian","Royal Meenakshi Mall, Bannerghatta Road, Bangalore",500,4.3,4
Leon Grill,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages","Bommanahalli, Bangalore",400,3.7,0
Five Star Chicken,Fast Food,"Bannerghatta Road, Bangalore",100,,0
Kanti Sweets,"Mithai, Street Food, Desserts","Bannerghatta Road, Bangalore",400,3.2,2
Polar Bear,"Ice Cream, Beverages, Shake","Bannerghatta Road, Bangalore",350,4.0,4
WOW! Momo,"Momos, Fast Food, Tibetan","Royal Meenakshi Mall, Bannerghatta Road, Bangalore",400,2.6,2
Ovenstory Pizza,"Pizza, Desserts","Bannerghatta Road, Bangalore",250,,0
MOJO Pizza - 2X Toppings,"Pizza, Fast Food, Desserts, Beverages","Bannerghatta Road, Bangalore",250,,0
Goli Vadapav No 1,"Street Food, Fast Food, Burger, Ice Cream, Desserts","JP Nagar, Bangalore",100,,0
Lassi Shop,"Fast Food, Ice Cream, Desserts, Shake, Beverages","Bannerghatta Road, Bangalore",100,,0
Subway,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Bannerghatta Road, Bangalore",400,3.0,2
Kwality Wallâs Frozen Dessert and Ice Cream Shop,Ice Cream,"Bannerghatta Road, Bangalore",100,,3
NIC - Natural Ice Creams,Ice Cream,"BTM, Bangalore",100,,3
Beijing Bites,"Chinese, Thai, Seafood, Healthy Food","Bannerghatta Road, Bangalore",800,2.9,2
Dindigul Thalappakatti,"Biryani, BBQ, South Indian, Chinese, North Indian, Mughlai, Beverages","Bannerghatta Road, Bangalore",600,3.5,0
Ludos Pizza,Pizza,"JP Nagar, Bangalore",200,,3
Faasos - Wraps & Rolls,"North Indian, Desserts, Wraps, Beverages","Bannerghatta Road, Bangalore",200,,3
Glen's Bakehouse,"Bakery, Pizza, Pasta, Continental, Desserts, Beverages, Shake","Bannerghatta Road, Bangalore",600,3.8,4
